"ID";"global_id";"Name";"AdmArea";"District";"ParkName";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Longitude_WGS84";"Latitude_WGS84";"geodata_center";"geoarea";
"Код";"global_id";"Наименование";"Административный округ по адресу";"Район";"Наименование парка";"Имя Wi-Fi сети";"Зона покрытия (метры)";"Признак функционирования";"Условия доступа";"Пароль";"Долгота в WGS-84";"Широта в WGS-84";"geodata_center";"geoarea";
"337";"46808732";"Точка доступа №337";"Западный административный округ";"район Филёвский Парк";"ГАУК города Москвы «Парк культуры и отдыха Фили»";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.490519";"55.746737";"";"";
"338";"46808734";"Точка доступа №338";"Западный административный округ";"район Филёвский Парк";"ГАУК города Москвы «Парк культуры и отдыха Фили»";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.490550";"55.747501";"";"";
"339";"46808736";"Точка доступа №339";"Западный административный округ";"район Филёвский Парк";"ГАУК города Москвы «Парк культуры и отдыха Фили»";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.474324";"55.747834";"";"";
"340";"46808738";"Точка доступа №340";"Западный административный округ";"район Филёвский Парк";"ГАУК города Москвы «Парк культуры и отдыха Фили»";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.454313";"55.738365";"";"";
"341";"46808740";"Точка доступа №341";"Восточный административный округ";"район Перово";"ГАУК города Москвы «Перовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.772962";"55.738956";"";"";
"342";"46808742";"Точка доступа №342";"Восточный административный округ";"район Перово";"ГАУК города Москвы «Перовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.773310";"55.738956";"";"";
"343";"46808744";"Точка доступа №343";"Восточный административный округ";"район Перово";"ГАУК города Москвы «Перовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.774490";"55.738755";"";"";
"240";"46808938";"Точка доступа №240";"Восточный административный округ";"район Сокольники";"ГАУК города Москвы «Парк культуры и отдыха «Сокольники»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.669084";"55.794737";"";"";
"241";"46808939";"Точка доступа №241";"Восточный административный округ";"район Сокольники";"ГАУК города Москвы «Парк культуры и отдыха «Сокольники»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.667766";"55.794827";"";"";
